caseid,age,sex,fulltime_emp,phys_challenge,sleep,homework,socializing
20160101161412,21,Female,Part time,No difficulty,630,0,660
20160101161418,55,Male,Full time,No difficulty,535,0,310
20160101161449,69,Female,Part time,No difficulty,494,0,175
20160101161451,61,Female,Part time,No difficulty,570,0,645
20160101161462,58,Male,Full time,Has difficulty,450,0,40
20160101161508,33,Male,Full time,No difficulty,540,0,195
20160101161511,27,Male,No answer,No difficulty,565,90,545
20160101161527,80,Female,No answer,Has difficulty,570,0,415
20160101161528,37,Female,No answer,No difficulty,602,0,390
20160101161546,45,Female,Full time,No difficulty,615,0,388
20160101161560,40,Female,No answer,No difficulty,526,0,250
20160101161574,66,Female,No answer,Has difficulty,540,0,400
20160101161577,75,Female,No answer,No difficulty,500,0,420
20160101161590,52,Female,Full time,No difficulty,690,0,175
20160101161638,61,Female,Full time,Has difficulty,765,0,360
20160101161656,73,Male,Part time,No difficulty,555,0,480
20160101161675,36,Female,Full time,No difficulty,495,0,736
20160101161687,56,Male,Full time,No difficulty,330,0,265
20160101161700,64,Male,Full time,No difficulty,480,0,390
20160101161704,40,Female,Part time,No difficulty,420,230,0
20160101161715,55,Male,Full time,No difficulty,570,0,240
20160101161747,85,Female,No answer,Has difficulty,810,0,270
20160101161762,29,Female,Full time,No difficulty,540,0,135
20160101161816,60,Female,No answer,Has difficulty,540,0,305
20160101161832,45,Female,Full time,No difficulty,800,0,430
20160101161838,37,Male,Full time,No difficulty,480,0,260
20160101161850,33,Female,Full time,No difficulty,480,0,75
20160101161856,65,Female,Full time,No difficulty,781,0,462
20160101161858,23,Female,Full time,No difficulty,720,60,0
20160101161862,44,Female,Full time,No difficulty,630,0,480
20160101161870,37,Female,Part time,No difficulty,590,0,0
20160101161873,76,Female,No answer,No difficulty,505,0,195
20160101161883,26,Female,No answer,No difficulty,485,0,150
20160101161891,51,Male,Full time,No difficulty,690,0,566
20160101161903,29,Male,Full time,No difficulty,550,0,0
20160101161907,57,Female,No answer,Has difficulty,930,0,355
20160101161943,22,Female,Part time,No difficulty,495,0,30
20160101161965,53,Male,Part time,Has difficulty,465,0,360
20160101161971,53,Male,Full time,No difficulty,530,0,180
20160101162013,52,Female,Full time,No difficulty,595,0,221
20160101162014,72,Male,No answer,No difficulty,420,0,935
20160101162031,34,Female,Full time,No difficulty,815,0,120
20160101162041,50,Male,Full time,No difficulty,510,0,60
20160101162059,53,Female,Part time,No difficulty,570,0,440
20160101162067,63,Female,No answer,No difficulty,460,0,90
20160101162086,57,Female,No answer,Has difficulty,435,0,290
20160101162123,17,Male,No answer,No difficulty,480,60,315
20160101162130,65,Female,No answer,Has difficulty,510,0,430
20160101162133,36,Female,Part time,No difficulty,495,0,288
20160101162164,58,Male,No answer,Has difficulty,450,0,846
20160101162166,58,Female,No answer,Has difficulty,525,0,375
20160101162200,47,Male,Full time,No difficulty,495,0,30
20160101162217,41,Female,Part time,No difficulty,570,0,265
20160101162218,30,Female,Part time,No difficulty,690,0,190
20160101162235,56,Male,Full time,No difficulty,600,0,460
20160101162274,24,Male,No answer,No difficulty,300,358,400
20160101162275,68,Female,No answer,No difficulty,555,0,500
20160101162278,80,Female,No answer,No difficulty,720,0,80
20160101162288,34,Female,Part time,Has difficulty,870,0,225
20160101162300,77,Male,No answer,No difficulty,585,0,775
20160101162303,61,Male,No answer,Has difficulty,600,0,405
20160101162332,32,Female,Full time,No difficulty,761,0,60
20160101162333,68,Female,Full time,No difficulty,570,0,215
20160101162343,77,Female,No answer,No difficulty,625,0,229
20160101162350,85,Female,No answer,Has difficulty,675,0,475
20160101162353,27,Female,No answer,No difficulty,623,0,235
20160101162355,42,Male,Full time,No difficulty,540,0,530
20160101162373,37,Female,Full time,No difficulty,648,0,384
20160101162377,35,Female,No answer,No difficulty,339,0,318
20160101162422,60,Female,No answer,Has difficulty,600,0,270
20160101162444,24,Female,No answer,No difficulty,620,0,80
20160101162445,50,Female,Full time,No difficulty,749,0,180
20160101162449,23,Female,No answer,No difficulty,744,0,164
20160101162452,36,Female,Full time,No difficulty,560,0,95
20160101162469,31,Male,Full time,No difficulty,530,0,150
20160101162477,44,Female,Full time,No difficulty,475,0,210
20160101162489,19,Male,No answer,No difficulty,480,0,679
20160101162494,51,Male,No answer,Has difficulty,440,0,830
20160101162514,31,Male,Full time,No difficulty,485,0,60
20160101162528,51,Female,No answer,No difficulty,495,0,180
20160110150657,46,Male,Full time,No difficulty,555,0,225
20160110150757,36,Male,Full time,No difficulty,720,0,180
20160110150981,41,Male,Full time,No difficulty,480,0,375
20160110151842,27,Female,Full time,No difficulty,570,0,100
20160110151953,75,Male,No answer,Has difficulty,510,0,500
20160110152084,40,Female,Full time,No difficulty,1018,0,0
20160110152307,26,Female,No answer,No difficulty,590,0,180
20160110152390,51,Female,Full time,No difficulty,570,0,350
20160110152460,18,Male,No answer,No difficulty,570,0,726
20160111150030,23,Female,Full time,No difficulty,824,0,55
20160111150034,77,Male,No answer,No difficulty,720,0,540
20160111150058,62,Female,Part time,No difficulty,525,0,60
20160111150076,36,Female,Full time,No difficulty,450,0,120
20160111150119,21,Male,No answer,No difficulty,510,0,520
20160111150131,48,Male,Full time,No difficulty,660,0,360
20160111150139,37,Female,No answer,No difficulty,960,0,120
20160111150145,25,Female,Part time,No difficulty,765,0,150
20160111150160,79,Female,No answer,No difficulty,423,0,32
20160111150503,40,Female,Full time,No difficulty,540,0,0
20160111150511,44,Male,Full time,No difficulty,430,0,45
20160111150522,39,Male,Full time,No difficulty,720,0,281
20160111150530,47,Male,Full time,No difficulty,525,0,135
20160111150575,34,Male,Full time,No difficulty,750,0,210
20160111150613,29,Female,Part time,No difficulty,595,0,120
20160111150624,69,Female,Part time,No difficulty,440,0,60
20160111150625,80,Male,Full time,No difficulty,627,0,465
20160111150651,31,Male,Full time,No difficulty,405,0,249
20160111150654,34,Female,Full time,No difficulty,364,0,95
20160111150662,61,Female,No answer,Has difficulty,547,0,242
20160111150706,17,Female,No answer,No difficulty,627,120,160
20160111150714,35,Male,Full time,No difficulty,300,0,0
20160111150736,44,Female,Full time,No difficulty,600,0,348
20160111150738,34,Male,Full time,No difficulty,600,0,381
20160111150766,42,Male,Full time,No difficulty,435,0,180
20160111150769,47,Female,Full time,No difficulty,85,0,60
20160111150770,48,Male,Full time,No difficulty,570,0,350
20160111150781,49,Female,Full time,No difficulty,375,0,105
20160111150783,68,Female,No answer,No difficulty,590,0,250
20160111150790,50,Female,Full time,No difficulty,660,0,625
20160111150804,28,Female,No answer,No difficulty,590,0,650
20160111150822,36,Female,Full time,No difficulty,502,0,154
20160111150835,75,Female,Part time,No difficulty,630,0,610
20160111150839,59,Male,No answer,No difficulty,320,0,554
20160111150844,28,Male,Full time,No difficulty,400,0,180
20160111150852,65,Female,No answer,No difficulty,585,0,350
20160111150855,67,Male,Part time,No difficulty,570,0,155
20160111150887,49,Female,Part time,No difficulty,1317,0,30
20160111150891,28,Male,Full time,No difficulty,630,0,150
20160111150909,28,Male,Full time,No difficulty,460,0,206
20160111150930,24,Male,Full time,No difficulty,600,0,420
20160111150980,47,Female,No answer,No difficulty,370,0,120
20160111150985,47,Female,Full time,No difficulty,540,0,704
20160111150987,28,Female,Full time,No difficulty,565,0,120
20160111150991,35,Female,Full time,No difficulty,705,0,435
20160111151039,36,Female,Full time,No difficulty,550,0,360
20160111151072,36,Female,Full time,No difficulty,510,0,110
20160111151098,41,Female,No answer,No difficulty,600,0,115
20160111151103,40,Female,Full time,No difficulty,476,0,90
20160111151107,21,Male,No answer,No difficulty,1050,0,345
20160111151118,52,Female,Full time,No difficulty,535,0,390
20160111151131,44,Female,Full time,No difficulty,510,0,435
20160111151135,46,Female,Full time,No difficulty,590,0,270
20160111151139,28,Female,Full time,No difficulty,430,0,150
20160111151153,40,Male,Full time,No difficulty,550,0,60
20160111151158,20,Female,Part time,No difficulty,780,0,435
20160111151168,37,Male,Full time,No difficulty,420,0,205
20160111151181,16,Female,Part time,No difficulty,410,110,70
20160111151183,60,Female,No answer,Has difficulty,440,0,570
20160111151184,58,Male,Full time,No difficulty,515,0,135
20160111151213,59,Female,Full time,No difficulty,360,0,120
20160111151215,39,Female,Full time,No difficulty,600,0,345
20160111151220,56,Female,Full time,No difficulty,670,0,340
20160111151260,54,Female,Full time,No difficulty,413,0,30
20160111151280,17,Male,No answer,No difficulty,660,0,427
20160111151356,61,Female,Full time,No difficulty,355,0,630
20160111151357,57,Female,Full time,No difficulty,565,0,170
20160111151369,43,Male,Full time,No difficulty,457,0,65
20160111151375,16,Male,Part time,No difficulty,415,45,20
20160111151389,39,Female,Full time,No difficulty,525,0,120
20160111151400,29,Female,No answer,No difficulty,300,0,705
20160111151409,46,Female,Part time,No difficulty,585,0,180
20160111151414,54,Male,Full time,No difficulty,540,0,530
20160111151431,18,Female,No answer,No difficulty,820,0,345
20160111151451,68,Female,No answer,No difficulty,713,0,135
20160111151460,34,Male,Full time,No difficulty,630,0,210
20160111151469,30,Female,No answer,No difficulty,655,0,585
20160111151471,15,Female,No answer,No difficulty,1010,0,120
20160111151488,59,Male,Full time,No difficulty,570,0,368
20160111151490,33,Male,Full time,No difficulty,510,0,360
20160111151495,53,Male,Full time,No difficulty,750,0,655
20160111151515,45,Male,Full time,No difficulty,480,0,270
20160111151520,25,Female,Full time,No difficulty,420,0,155
20160111151558,32,Male,Full time,No difficulty,360,60,420
20160111151560,56,Female,No answer,No difficulty,660,0,705
20160111151567,17,Male,No answer,No difficulty,720,60,137
20160111151576,66,Female,No answer,No difficulty,660,0,388
20160111151580,23,Female,Full time,No difficulty,810,0,283
20160111151601,61,Male,No answer,Has difficulty,420,0,495
20160111151608,15,Female,No answer,No difficulty,375,355,45
20160111151623,37,Male,Full time,No difficulty,660,0,490
20160111151632,29,Female,Full time,No difficulty,525,0,220
20160111151638,64,Female,No answer,No difficulty,495,0,45
20160111151674,32,Female,Full time,No difficulty,685,0,60
20160111151676,53,Male,Full time,No difficulty,350,0,150
20160111151680,33,Male,Full time,No difficulty,465,0,165
20160111151690,57,Female,Full time,No difficulty,480,0,175
20160111151739,64,Female,Full time,No difficulty,390,0,0
20160111151776,50,Female,Full time,Has difficulty,540,0,240
20160111151783,30,Male,Full time,No difficulty,360,0,125
20160111151790,72,Male,Part time,No difficulty,540,0,340
20160111151797,59,Female,No answer,No difficulty,515,0,290
20160111151799,85,Male,No answer,Has difficulty,480,0,570
20160111151813,46,Female,Full time,No difficulty,690,0,382
20160111151814,47,Female,Part time,No difficulty,150,0,335
20160111151840,62,Male,Full time,No difficulty,580,0,168
20160111151852,58,Female,No answer,Has difficulty,790,0,360
20160111151855,50,Female,No answer,No difficulty,510,0,330
20160111151865,64,Female,Full time,No difficulty,510,0,750
20160111151887,71,Male,No answer,No difficulty,600,0,419
20160111151898,49,Male,Full time,No difficulty,420,0,82
20160111151899,50,Male,Full time,No difficulty,315,0,115
20160111151902,64,Male,Part time,No difficulty,240,0,800
20160111151911,40,Female,No answer,No difficulty,420,0,100
20160111151914,21,Female,Part time,No difficulty,610,0,90
20160111151916,30,Male,No answer,No difficulty,420,0,151
20160111151922,62,Male,Full time,No difficulty,510,0,25
20160111151925,56,Female,Part time,No difficulty,1404,0,23
20160111151928,49,Female,Full time,No difficulty,390,0,485
20160111151940,62,Male,No answer,No difficulty,540,0,544
20160111151970,69,Male,No answer,Has difficulty,584,0,372
20160111151973,46,Male,Full time,No difficulty,510,0,130
20160111151979,61,Female,No answer,No difficulty,480,0,830
20160111151993,61,Female,No answer,No difficulty,510,0,150
20160111152007,68,Male,No answer,No difficulty,450,0,475
20160111152030,57,Female,Part time,No difficulty,805,0,430
20160111152044,78,Male,No answer,Has difficulty,480,0,250
20160111152046,28,Male,No answer,Has difficulty,180,0,0
20160111152075,40,Male,Full time,No difficulty,500,0,210
20160111152097,41,Female,Full time,No difficulty,780,0,530
20160111152110,48,Female,Full time,No difficulty,669,0,170
20160111152131,58,Female,Full time,No difficulty,390,0,175
20160111152145,65,Male,No answer,Has difficulty,690,0,595
20160111152156,48,Male,Full time,No difficulty,630,0,120
20160111152157,56,Male,Full time,Has difficulty,510,0,370
20160111152186,44,Male,Full time,No difficulty,435,0,260
20160111152224,64,Female,No answer,No difficulty,510,0,440
20160111152225,31,Male,Full time,No difficulty,589,0,525
20160111152228,45,Female,Full time,No difficulty,450,0,165
20160111152248,17,Female,Part time,No difficulty,480,0,390
20160111152254,29,Male,Full time,No difficulty,405,0,360
20160111152299,33,Male,Full time,No difficulty,510,0,60
20160111152317,85,Male,No answer,Has difficulty,540,0,625
20160111152324,51,Male,Full time,No difficulty,580,0,0
20160111152325,72,Male,Part time,No difficulty,540,0,270
20160111152327,49,Female,Full time,No difficulty,720,0,210
20160111152341,18,Male,Part time,No difficulty,640,0,360
20160111152377,55,Male,Part time,No difficulty,585,0,420
20160111152388,80,Male,No answer,No difficulty,600,0,225
20160111152394,42,Male,Full time,No difficulty,520,0,100
20160111152397,42,Female,No answer,Has difficulty,630,0,585
20160111152414,68,Female,No answer,No difficulty,465,0,70
20160111152428,63,Female,Full time,No difficulty,510,0,150
20160111152441,66,Male,No answer,No difficulty,540,0,515
20160111152444,32,Male,Full time,No difficulty,630,0,145
20160111152469,35,Male,Full time,No difficulty,600,0,90
20160111152481,46,Male,Full time,No difficulty,640,0,240
20160111152489,17,Male,No answer,No difficulty,640,0,240
20160111152509,25,Male,Full time,No difficulty,570,0,185
20160111152520,37,Female,Full time,No difficulty,695,0,595
20160112150002,69,Female,No answer,Has difficulty,735,0,619
20160112150005,38,Male,Full time,No difficulty,300,0,570
20160112150008,28,Female,Full time,No difficulty,350,0,120
20160112150011,34,Male,Full time,No difficulty,445,0,245
20160112150013,35,Male,Full time,No difficulty,640,0,590
20160112150014,42,Male,Full time,No difficulty,485,0,315
20160112150024,27,Female,Full time,No difficulty,107,0,60
20160112150028,52,Female,No answer,Has difficulty,420,0,420
20160112150033,62,Female,Full time,No difficulty,360,0,320
20160112150035,36,Male,Full time,No difficulty,600,0,220
20160112150036,72,Female,No answer,No difficulty,510,0,345
20160112150039,44,Female,Full time,No difficulty,870,0,0
20160112150043,64,Male,Part time,Has difficulty,600,0,542
20160112150044,39,Male,Full time,No difficulty,490,0,200
20160112150047,34,Female,No answer,No difficulty,540,0,730
20160112150052,73,Female,No answer,No difficulty,545,0,585
20160112150053,85,Male,No answer,No difficulty,1025,0,360
20160112150057,25,Female,Part time,No difficulty,720,0,150
20160112150058,66,Male,No answer,No difficulty,510,0,210
20160112150062,70,Female,No answer,No difficulty,600,0,465
20160112150063,72,Female,No answer,No difficulty,630,0,400
20160112150070,50,Male,Full time,No difficulty,480,0,387
20160112150081,85,Female,No answer,No difficulty,450,0,720
20160112150090,16,Male,No answer,No difficulty,540,0,288
20160112150100,67,Male,No answer,No difficulty,630,0,743
20160112150101,35,Female,Full time,No difficulty,505,0,332
20160112150104,42,Male,Full time,No difficulty,385,0,75
20160112150107,44,Female,Full time,No difficulty,510,0,184
20160112150110,64,Female,Part time,No difficulty,645,0,0
20160112150113,59,Female,Full time,No difficulty,255,0,180
20160112150114,55,Male,No answer,Has difficulty,525,0,865
20160112150119,38,Male,No answer,No difficulty,375,0,337
20160112150120,50,Female,Full time,No difficulty,420,0,465
20160112150124,50,Female,Full time,No difficulty,400,0,0
20160112150128,41,Male,Part time,No difficulty,486,0,425
20160112150136,54,Male,No answer,No difficulty,0,0,1027
20160112150142,29,Male,Full time,No difficulty,416,0,234
20160112150144,35,Female,No answer,No difficulty,525,0,221
20160112150149,28,Female,Part time,No difficulty,585,0,175
20160112150151,75,Female,Part time,No difficulty,600,0,245
20160112150157,56,Male,Full time,No difficulty,415,0,60
20160112150159,85,Female,No answer,Has difficulty,640,0,570
20160112150173,30,Male,No answer,No difficulty,538,0,185
20160112150502,29,Female,Part time,No difficulty,600,0,334
20160112150505,16,Female,No answer,No difficulty,510,112,210
20160112150507,33,Male,Full time,No difficulty,610,0,373
20160112150508,40,Female,Part time,No difficulty,460,0,60
20160112150509,72,Male,Full time,No difficulty,590,0,385
20160112150513,62,Female,Full time,No difficulty,420,0,405
20160112150514,30,Male,Full time,No difficulty,585,0,495
20160112150515,22,Female,Full time,No difficulty,325,0,636
20160112150516,37,Male,Part time,No difficulty,480,0,464
20160112150517,56,Female,No answer,No difficulty,515,0,80
20160112150519,24,Male,Part time,No difficulty,240,0,578
20160112150540,45,Male,Full time,No difficulty,217,0,0
20160112150542,41,Male,Full time,No difficulty,640,0,495
20160112150543,62,Female,Full time,No difficulty,567,0,600
20160112150545,50,Male,Full time,No difficulty,480,0,0
20160112150546,30,Female,No answer,No difficulty,705,0,165
20160112150547,18,Female,No answer,No difficulty,840,50,345
20160112150548,27,Female,Full time,No difficulty,510,0,70
20160112150552,36,Female,Full time,No difficulty,417,0,190
20160112150554,76,Female,No answer,No difficulty,660,0,195
20160112150556,85,Female,No answer,No difficulty,930,0,210
20160112150561,44,Male,No answer,No difficulty,930,0,196
20160112150564,52,Male,Full time,No difficulty,450,0,220
20160112150566,50,Female,Full time,No difficulty,510,0,170
20160112150567,44,Female,Full time,No difficulty,510,0,0
20160112150568,74,Male,No answer,No difficulty,600,0,415
20160112150569,30,Female,Full time,No difficulty,510,0,78
20160112150570,22,Female,No answer,No difficulty,670,0,30
20160112150571,17,Female,No answer,No difficulty,375,210,0
20160112150573,44,Male,Full time,No difficulty,720,0,165
20160112150582,35,Female,Full time,No difficulty,450,0,255
20160112150583,36,Female,Full time,No difficulty,700,60,115
20160112150585,68,Female,Full time,No difficulty,315,0,120
20160112150586,80,Female,No answer,No difficulty,540,0,120
20160112150587,49,Female,No answer,Has difficulty,540,0,860
20160112150588,42,Male,Full time,No difficulty,420,0,840
20160112150592,44,Female,Full time,No difficulty,610,0,410
20160112150598,44,Female,Full time,No difficulty,660,0,360
20160112150599,51,Female,Full time,No difficulty,450,0,40
20160112150600,28,Male,Full time,No difficulty,850,0,180
20160112150602,69,Female,No answer,No difficulty,510,0,465
20160112150605,34,Male,Full time,No difficulty,540,0,420
20160112150607,47,Female,Part time,No difficulty,520,0,297
20160112150613,31,Male,Full time,No difficulty,420,0,325
20160112150616,64,Female,No answer,No difficulty,300,0,764
20160112150617,80,Female,No answer,No difficulty,450,0,70
20160112150625,21,Male,Full time,No difficulty,615,0,195
20160112150626,33,Male,Full time,No difficulty,405,0,290
20160112150628,44,Male,Full time,No difficulty,537,0,223
20160112150632,62,Male,No answer,Has difficulty,718,0,374
20160112150634,21,Male,Full time,No difficulty,180,0,34
20160112150639,71,Female,No answer,No difficulty,540,0,432
20160112150641,69,Male,Full time,No difficulty,493,0,105
20160112150644,38,Female,No answer,No difficulty,492,0,180
20160112150648,66,Male,Full time,No difficulty,570,0,690
20160112150651,80,Female,No answer,No difficulty,570,0,523
20160112150653,44,Female,Full time,No difficulty,450,0,173
20160112150661,57,Female,No answer,No difficulty,660,0,478
20160112150662,48,Female,Full time,No difficulty,405,0,575
20160112150664,36,Female,Part time,Has difficulty,600,0,240
20160112150667,53,Male,Full time,No difficulty,540,0,150
20160112150668,85,Female,No answer,No difficulty,555,0,715
20160112150671,43,Male,Full time,No difficulty,660,0,335
20160112150675,47,Male,Full time,No difficulty,375,0,30
20160112150679,62,Male,Full time,No difficulty,315,0,105
20160112150681,39,Female,No answer,Has difficulty,660,0,540
20160112150685,76,Female,No answer,Has difficulty,450,0,250
20160112150686,47,Male,Full time,No difficulty,509,0,120
20160112150688,75,Male,Part time,No difficulty,540,0,216
20160112150696,66,Female,Part time,No difficulty,420,0,140
20160112150697,31,Female,No answer,No difficulty,590,0,365
20160112150699,79,Male,No answer,No difficulty,630,0,480
20160112150701,52,Female,Full time,No difficulty,465,0,140
20160112150704,57,Male,No answer,Has difficulty,865,0,235
20160112150710,52,Male,No answer,No difficulty,615,0,580
20160112150719,76,Male,No answer,No difficulty,741,0,390
20160112150722,44,Female,No answer,Has difficulty,635,0,230
20160112150724,15,Female,No answer,No difficulty,600,0,653
20160112150725,22,Male,Full time,No difficulty,510,0,260
20160112150727,48,Female,Part time,No difficulty,390,0,513
20160112150729,46,Female,No answer,No difficulty,420,0,30
20160112150731,51,Male,Full time,No difficulty,465,0,290
20160112150733,41,Female,Full time,No difficulty,390,0,445
20160112150735,57,Female,No answer,Has difficulty,860,0,440
20160112150743,70,Female,No answer,No difficulty,570,0,440
20160112150748,69,Male,No answer,No difficulty,540,0,375
20160112150750,28,Male,Full time,No difficulty,480,0,75
20160112150751,32,Female,Full time,No difficulty,483,0,443
20160112150763,33,Female,Part time,No difficulty,660,0,270
20160112150765,51,Male,Full time,No difficulty,365,0,90
20160112150767,50,Male,Part time,No difficulty,510,0,150
20160112150769,18,Male,Part time,No difficulty,600,135,200
20160112150774,67,Male,No answer,Has difficulty,540,0,563
20160112150777,31,Male,No answer,No difficulty,273,0,595
20160112150779,85,Female,No answer,Has difficulty,450,0,465
20160112150780,32,Female,Part time,No difficulty,640,0,185
20160112150784,32,Female,Full time,No difficulty,541,0,0
20160112150785,68,Female,No answer,No difficulty,580,0,415
20160112150800,43,Female,Full time,No difficulty,540,0,745
20160112150804,51,Male,Full time,No difficulty,285,0,150
20160112150808,32,Female,No answer,No difficulty,878,0,7
20160112150812,50,Male,Full time,No difficulty,540,0,595
20160112150814,66,Female,No answer,No difficulty,390,0,254
20160112150817,51,Female,No answer,No difficulty,600,0,210
20160112150818,44,Female,No answer,No difficulty,480,0,440
20160112150819,42,Male,Full time,Has difficulty,530,0,60
20160112150820,58,Male,Full time,No difficulty,330,0,200
20160112150821,40,Female,No answer,No difficulty,240,0,0
20160112150822,79,Female,No answer,No difficulty,744,0,315
20160112150823,45,Female,No answer,Has difficulty,780,0,345
20160112150826,40,Female,No answer,No difficulty,581,0,352
20160112150828,62,Female,No answer,No difficulty,540,0,635
20160112150833,25,Female,Part time,No difficulty,600,0,135
20160112150836,40,Male,No answer,Has difficulty,540,0,855
20160112150838,65,Female,No answer,No difficulty,540,0,617
20160112150845,40,Female,No answer,No difficulty,450,0,120
20160112150850,62,Female,No answer,No difficulty,647,0,700
20160112150852,43,Male,Full time,No difficulty,670,0,300
20160112150862,45,Female,Part time,No difficulty,510,0,125
20160112150875,35,Male,Full time,No difficulty,660,0,660
20160112150876,57,Male,Part time,No difficulty,435,0,740
20160112150884,52,Male,Full time,No difficulty,600,0,670
20160112150886,21,Female,Full time,No difficulty,270,0,495
20160112150887,17,Male,No answer,No difficulty,450,250,250
20160112150896,18,Male,Part time,No difficulty,495,0,522
20160112150897,15,Female,No answer,No difficulty,480,80,106
